no_events_placeholder
Mumbai,2026-06-23T14:29:02.611996,26.5,26.5,93,1004.6,95,,7.2,100
Hyderabad,2026-06-23T14:29:09.285996,27.4,27.4,71,1005.8,3,,9.6,97
Delhi,2026-06-23T14:29:04.984202,33.9,33.9,38,998.2,0,,9.5,11
Chennai,2026-06-23T14:29:12.316797,29.9,29.9,76,1006.2,95,,14.4,82
Bangalore,2026-06-23T14:29:07.239182,22.3,22.3,91,1010.6,51,,10.8,92
Mumbai,2026-06-23T14:34:14.631320,26.6,26.6,93,1004.6,95,,6.4,100
Delhi,2026-06-23T14:34:06.778963,33.7,33.7,38,998.2,0,,8.8,11
Bangalore,2026-06-23T14:34:08.825831,22.2,22.2,91,1010.6,51,,11.1,92
Hyderabad,2026-06-23T14:34:11.219719,27.3,27.3,71,1005.8,3,,9.9,97
Chennai,2026-06-23T14:34:13.678980,29.6,29.6,76,1006.2,3,,13.9,82
Bangalore,2026-06-23T14:42:58.150685,22.2,22.2,91,1010.6,51,,11.1,92
Mumbai,2026-06-23T14:42:53.282770,26.6,26.6,93,1004.6,95,,6.4,100
Hyderabad,2026-06-23T14:42:49.942897,27.3,27.3,71,1005.8,3,,9.9,97
Delhi,2026-06-23T14:42:55.852686,33.7,33.7,38,998.2,0,,8.8,11
Chennai,2026-06-23T14:42:52.302653,29.6,29.6,76,1006.2,3,,13.9,82
Delhi,2026-06-23T14:52:09.637784,33.5,33.5,38,998.2,0,,8.2,11
Mumbai,2026-06-23T14:52:07.074595,26.6,26.6,93,1004.6,95,,5.6,100
Mumbai,2026-06-23T14:58:37.781919,26.6,26.6,93,1004.6,95,,5.6,100
Bangalore,2026-06-23T14:52:11.494886,22.1,22.1,91,1010.6,51,,11.4,92
Bangalore,2026-06-23T14:58:42.259009,22.1,22.1,91,1010.6,51,,11.4,92
